positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
电话销售,浙江达摩网络科技有限公司,150-500人,"企业服务,消费生活",A轮,销售类,销售,销售经理,"['销售', '客户代表']",2020-09-02 15:33:03,杭州,西湖区,['文一路'],8k-16k,1-3年,全职,不限,待遇好，福利多，晋升空间大
web前端开发工程师,深圳森香科技有限公司,50-150人,"移动互联网,金融",不需要融资,开发|测试|运维类,前端开发,WEB前端,"['HTML5', 'Vue', 'jQuery', 'CSS3']",2020-09-02 15:32:29,深圳,南山区,"['南山医院', '科技园', '南头']",12k-18k,3-5年,全职,本科,扁平化，加班少，福利好，团队氛围好
数据产品经理,北京琥珀创想科技有限公司,50-150人,移动互联网,A轮,产品|需求|项目类,产品经理,数据产品经理,"['需求分析', '数据分析', 'BI']",2020-09-02 15:32:28,北京,朝阳区,['立水桥'],15k-25k,1-3年,全职,本科,六险一金；充分授权；扁平管理；数据决策；
OMO中台产品总监（电商/saas),中企动力科技股份有限公司,2000人以上,"电商,移动互联网",上市公司,产品|需求|项目类,高端产品职位,产品总监,"['电商', '新零售', '创业']",2020-09-02 15:32:23,北京,大兴区,,25k-45k,5-10年,全职,本科,五险一金、补充医疗、免费停车、班车通达
实习生,内蒙古凯悦环保科技有限公司,15-50人,消费生活,不需要融资,销售类,销售,销售顾问,"['销售', '客户代表']",2020-09-02 15:32:13,包头,青山区,,3k-6k,不限,全职,不限,免费出差旅游差旅费公司报销
C#高级软件工程师,上海贝耳塔信息技术有限公司,150-500人,金融,B轮,开发|测试|运维类,后端开发,C#|.NET,"['C#', '.NET']",2020-09-02 15:32:08,上海,浦东新区,"['花木', '世纪公园', '龙阳路地铁']",23k-30k,5-10年,全职,本科,五险一金 下午茶 氛围好 扁平管理
腾讯渠道助理,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,不需要融资,市场|商务类,市场|营销,商务渠道,"['数据分析', '渠道']",2020-09-02 15:31:59,深圳,南山区,"['南油', '科技园']",7k-9k,1-3年,全职,本科,六险一金；十三薪；双休，包早餐，包班车
交付专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",未融资,综合职能|高级管理,人力资源,HRBP,"['HRBP', '招聘', '员工关系']",2020-09-02 15:31:55,杭州,余杭区,['仓前'],6k-8k,1-3年,全职,本科,上市企业 周末双休
JAVA开发工程师,西安领军智能信息科技有限公司,15-50人,"移动互联网,企业服务",不需要融资,开发|测试|运维类,后端开发,Java,['Java'],2020-09-02 15:31:54,西安,,,7k-12k,3-5年,全职,本科,"弹性工作,升职空间,内部优惠和各种福利"
PHP开发工程师,深圳超桌网络科技有限公司,50-150人,"移动互联网,金融",A轮,开发|测试|运维类,后端开发,PHP,"['移动互联网', '工具软件', 'PHP', '服务器端', '数据库', 'MySQL']",2020-09-02 15:31:53,深圳,,,8k-15k,1-3年,全职,大专,扁平化管理、晋升空间大、地铁周边、
新媒体运营,广东微谷投资股份有限公司,少于15人,"移动互联网,企业服务",不需要融资,运营|编辑|客服类,运营,新媒体运营,"['广告营销', '媒体', '运营']",2020-09-02 15:31:47,广州,,,2k-3k,应届毕业生,实习,本科,"福利好,挑战性强,环境舒适,领导亲和"
设计实习生,上海黄豆网络科技有限公司,150-500人,"移动互联网,教育",A轮,设计类,视觉,视觉设计,"['UE', '美工']",2020-09-02 15:31:44,上海,,,2k-4k,1年以下,全职,本科,晋升空间大 办公环境好 福利好
前端开发工程师,河南元启网络科技有限公司,少于15人,移动互联网 电子商务,不需要融资,开发|测试|运维类,前端开发,WEB前端,"['电商', 'Web前端', 'Vue', 'HTML5']",2020-09-02 15:31:43,郑州,金水区,['北环'],7k-10k,3-5年,全职,本科,五险，弹性工作，节日福利
文案策划,成都新克文化传播有限公司,15-50人,广告营销,未融资,设计类,视觉,广告设计,"['广告营销', '创意设计']",2020-09-02 15:31:42,成都,,,4k-5k,3-5年,全职,本科,服务高端客户：服务大型国企，国内一线品牌
.net开发工程师,上海富泽软件技术服务有限公司,50-150人,"移动互联网,电商",D轮及以上,开发|测试|运维类,后端开发,C#|.NET,"['.NET', 'C#']",2020-09-02 15:31:42,上海,长宁区,,15k-20k,3-5年,全职,本科,年终奖多，国假日正常休
高级java工程师,浙江达摩网络科技有限公司,150-500人,"企业服务,消费生活",A轮,开发|测试|运维类,后端开发,其他后端开发,"['分布式', 'Java']",2020-09-02 15:33:03,杭州,西湖区,['文一路'],15k-30k,不限,全职,不限,分布式平台架构、平台中有1000w会员
OMO中台产品总监（电商/saas),中企动力科技股份有限公司,2000人以上,"电商,移动互联网",上市公司,产品|需求|项目类,高端产品职位,产品总监,"['电商', '新零售', '创业']",2020-09-02 15:32:23,北京,大兴区,,25k-45k,5-10年,全职,本科,五险一金、补充医疗、免费停车、班车通达
实习生,内蒙古凯悦环保科技有限公司,15-50人,消费生活,不需要融资,销售类,销售,销售顾问,"['销售', '客户代表']",2020-09-02 15:32:13,包头,青山区,,3k-6k,不限,全职,不限,免费出差旅游差旅费公司报销
C#高级软件工程师,上海贝耳塔信息技术有限公司,150-500人,金融,B轮,开发|测试|运维类,后端开发,C#|.NET,"['C#', '.NET']",2020-09-02 15:32:08,上海,浦东新区,"['花木', '世纪公园', '龙阳路地铁']",23k-30k,5-10年,全职,本科,五险一金 下午茶 氛围好 扁平管理
交付专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",未融资,综合职能|高级管理,人力资源,HRBP,"['HRBP', '招聘', '员工关系']",2020-09-02 15:31:55,杭州,余杭区,['仓前'],6k-8k,1-3年,全职,本科,上市企业 周末双休
JAVA开发工程师,西安领军智能信息科技有限公司,15-50人,"移动互联网,企业服务",不需要融资,开发|测试|运维类,后端开发,Java,['Java'],2020-09-02 15:31:54,西安,,,7k-12k,3-5年,全职,本科,"弹性工作,升职空间,内部优惠和各种福利"
PHP开发工程师,深圳超桌网络科技有限公司,50-150人,"移动互联网,金融",A轮,开发|测试|运维类,后端开发,PHP,"['移动互联网', '工具软件', 'PHP', '服务器端', '数据库', 'MySQL']",2020-09-02 15:31:53,深圳,,,8k-15k,1-3年,全职,大专,扁平化管理、晋升空间大、地铁周边、
新媒体运营,广东微谷投资股份有限公司,少于15人,"移动互联网,企业服务",不需要融资,运营|编辑|客服类,运营,新媒体运营,"['广告营销', '媒体', '运营']",2020-09-02 15:31:47,广州,,,2k-3k,应届毕业生,实习,本科,"福利好,挑战性强,环境舒适,领导亲和"
设计实习生,上海黄豆网络科技有限公司,150-500人,"移动互联网,教育",A轮,设计类,视觉,视觉设计,"['UE', '美工']",2020-09-02 15:31:44,上海,,,2k-4k,1年以下,全职,本科,晋升空间大 办公环境好 福利好
前端开发工程师,河南元启网络科技有限公司,少于15人,移动互联网 电子商务,不需要融资,开发|测试|运维类,前端开发,WEB前端,"['电商', 'Web前端', 'Vue', 'HTML5']",2020-09-02 15:31:43,郑州,金水区,['北环'],7k-10k,3-5年,全职,本科,五险，弹性工作，节日福利
文案策划,成都新克文化传播有限公司,15-50人,广告营销,未融资,设计类,视觉,广告设计,"['广告营销', '创意设计']",2020-09-02 15:31:42,成都,,,4k-5k,3-5年,全职,本科,服务高端客户：服务大型国企，国内一线品牌
.net开发工程师,上海富泽软件技术服务有限公司,50-150人,"移动互联网,电商",D轮及以上,开发|测试|运维类,后端开发,C#|.NET,"['.NET', 'C#']",2020-09-02 15:31:42,上海,长宁区,,15k-20k,3-5年,全职,本科,年终奖多，国假日正常休
运维工程师,北京佳金数据科技有限公司,15-50人,金融,不需要融资,开发|测试|运维类,运维,运维工程师,['运维开发'],2020-09-02 15:31:39,北京,,,12k-20k,3-5年,全职,本科,周末双休五险一金餐补车补年终奖定期体检
政府事务主管,上海虎烨信息科技有限公司,50-150人,"移动互联网,金融",A轮,市场|商务类,媒介|公关,政府关系,"['移动互联网', '金融', '政府关系（GR）']",2020-09-02 15:31:34,上海,长宁区,['镇宁路'],15k-25k,3-5年,全职,本科,高新科技企业，领导Nice，发展快，项目多
客户经理,平安普惠投资咨询有限公司成都第五分公司,2000人以上,金融,上市公司,销售类,销售,客户经理,['互联网金融'],2020-09-02 15:31:34,成都,,,5k-10k,3-5年,全职,大专,周末双休，六险两金+节假日津贴+高温补贴
电话销售,浙江达摩网络科技有限公司,150-500人,"企业服务,消费生活",A轮,销售类,销售,销售经理,"['销售', '客户代表']",2020-09-02 15:33:03,杭州,西湖区,['文一路'],8k-16k,1-3年,全职,不限,待遇好，福利多，晋升空间大
数据产品经理,北京琥珀创想科技有限公司,50-150人,移动互联网,A轮,产品|需求|项目类,产品经理,数据产品经理,"['需求分析', '数据分析', 'BI']",2020-09-02 15:32:28,北京,朝阳区,['立水桥'],15k-25k,1-3年,全职,本科,六险一金；充分授权；扁平管理；数据决策；
OMO中台产品总监（电商/saas),中企动力科技股份有限公司,2000人以上,"电商,移动互联网",上市公司,产品|需求|项目类,高端产品职位,产品总监,"['电商', '新零售', '创业']",2020-09-02 15:32:23,北京,大兴区,,25k-45k,5-10年,全职,本科,五险一金、补充医疗、免费停车、班车通达
实习生,内蒙古凯悦环保科技有限公司,15-50人,消费生活,不需要融资,销售类,销售,销售顾问,"['销售', '客户代表']",2020-09-02 15:32:13,包头,青山区,,3k-6k,不限,全职,不限,免费出差旅游差旅费公司报销
C#高级软件工程师,上海贝耳塔信息技术有限公司,150-500人,金融,B轮,开发|测试|运维类,后端开发,C#|.NET,"['C#', '.NET']",2020-09-02 15:32:08,上海,浦东新区,"['花木', '世纪公园', '龙阳路地铁']",23k-30k,5-10年,全职,本科,五险一金 下午茶 氛围好 扁平管理
腾讯渠道助理,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,不需要融资,市场|商务类,市场|营销,商务渠道,"['数据分析', '渠道']",2020-09-02 15:31:59,深圳,南山区,"['南油', '科技园']",7k-9k,1-3年,全职,本科,六险一金；十三薪；双休，包早餐，包班车
交付专员,上海华钦信息科技股份有限公司,500-2000人,"数据服务,金融",未融资,综合职能|高级管理,人力资源,HRBP,"['HRBP', '招聘', '员工关系']",2020-09-02 15:31:55,杭州,余杭区,['仓前'],6k-8k,1-3年,全职,本科,上市企业 周末双休
JAVA开发工程师,西安领军智能信息科技有限公司,15-50人,"移动互联网,企业服务",不需要融资,开发|测试|运维类,后端开发,Java,['Java'],2020-09-02 15:31:54,西安,,,7k-12k,3-5年,全职,本科,"弹性工作,升职空间,内部优惠和各种福利"
PHP开发工程师,深圳超桌网络科技有限公司,50-150人,"移动互联网,金融",A轮,开发|测试|运维类,后端开发,PHP,"['移动互联网', '工具软件', 'PHP', '服务器端', '数据库', 'MySQL']",2020-09-02 15:31:53,深圳,,,8k-15k,1-3年,全职,大专,扁平化管理、晋升空间大、地铁周边、
新媒体运营,广东微谷投资股份有限公司,少于15人,"移动互联网,企业服务",不需要融资,运营|编辑|客服类,运营,新媒体运营,"['广告营销', '媒体', '运营']",2020-09-02 15:31:47,广州,,,2k-3k,应届毕业生,实习,本科,"福利好,挑战性强,环境舒适,领导亲和"
设计实习生,上海黄豆网络科技有限公司,150-500人,"移动互联网,教育",A轮,设计类,视觉,视觉设计,"['UE', '美工']",2020-09-02 15:31:44,上海,,,2k-4k,1年以下,全职,本科,晋升空间大 办公环境好 福利好
前端开发工程师,河南元启网络科技有限公司,少于15人,移动互联网 电子商务,不需要融资,开发|测试|运维类,前端开发,WEB前端,"['电商', 'Web前端', 'Vue', 'HTML5']",2020-09-02 15:31:43,郑州,金水区,['北环'],7k-10k,3-5年,全职,本科,五险，弹性工作，节日福利
文案策划,成都新克文化传播有限公司,15-50人,广告营销,未融资,设计类,视觉,广告设计,"['广告营销', '创意设计']",2020-09-02 15:31:42,成都,,,4k-5k,3-5年,全职,本科,服务高端客户：服务大型国企，国内一线品牌
.net开发工程师,上海富泽软件技术服务有限公司,50-150人,"移动互联网,电商",D轮及以上,开发|测试|运维类,后端开发,C#|.NET,"['.NET', 'C#']",2020-09-02 15:31:42,上海,长宁区,,15k-20k,3-5年,全职,本科,年终奖多，国假日正常休
运维工程师,北京佳金数据科技有限公司,15-50人,金融,不需要融资,开发|测试|运维类,运维,运维工程师,['运维开发'],2020-09-02 15:31:39,北京,,,12k-20k,3-5年,全职,本科,周末双休五险一金餐补车补年终奖定期体检
电话销售,浙江达摩网络科技有限公司,150-500人,"企业服务,消费生活",A轮,销售类,销售,销售经理,"['销售', '客户代表']",2020-09-02 15:33:03,杭州,西湖区,['文一路'],8k-16k,1-3年,全职,不限,待遇好，福利多，晋升空间大
数据分析岗（业务方向）,广发银行股份有限公司信用卡中心,2000人以上,金融,不需要融资,产品|需求|项目类,数据分析,数据分析,"['商业', '可视化', 'SQL', '数据分析']",2020-09-02 15:32:39,广州,天河区,,20k-40k,5-10年,全职,本科,"周末双休,带薪年假,五险一金,提供食堂"
后期剪辑实习生,广州衡卓文化传媒有限公司,15-50人,"文娱丨内容,广告营销",不需要融资,设计类,原画|美术|特效,视频,"['视频', '视频', '后期', '剪辑']",2020-09-02 15:32:33,广州,海珠区,,2k-3k,应届毕业生,实习,不限,"项目奖金,技能提升"
前端开发工程师（react）,上海寸心创意科技有限公司,150-500人,"电商,数据服务",B轮,开发|测试|运维类,前端开发,React,"['React', 'Web前端', '前端开发']",2020-09-02 15:32:32,上海,浦东新区,,8k-15k,1-3年,全职,本科,全球品牌 互联网+制造业
web前端开发工程师,深圳森香科技有限公司,50-150人,"移动互联网,金融",不需要融资,开发|测试|运维类,前端开发,WEB前端,"['HTML5', 'Vue', 'jQuery', 'CSS3']",2020-09-02 15:32:29,深圳,南山区,"['南山医院', '科技园', '南头']",12k-18k,3-5年,全职,本科,扁平化，加班少，福利好，团队氛围好
数据产品经理,北京琥珀创想科技有限公司,50-150人,移动互联网,A轮,产品|需求|项目类,产品经理,数据产品经理,"['需求分析', '数据分析', 'BI']",2020-09-02 15:32:28,北京,朝阳区,['立水桥'],15k-25k,1-3年,全职,本科,六险一金；充分授权；扁平管理；数据决策；
OMO中台产品总监（电商/saas),中企动力科技股份有限公司,2000人以上,"电商,移动互联网",上市公司,产品|需求|项目类,高端产品职位,产品总监,"['电商', '新零售', '创业']",2020-09-02 15:32:23,北京,大兴区,,25k-45k,5-10年,全职,本科,五险一金、补充医疗、免费停车、班车通达
实习生,内蒙古凯悦环保科技有限公司,15-50人,消费生活,不需要融资,销售类,销售,销售顾问,"['销售', '客户代表']",2020-09-02 15:32:13,包头,青山区,,3k-6k,不限,全职,不限,免费出差旅游差旅费公司报销
Javascript高级开发,上海贝耳塔信息技术有限公司,150-500人,金融,B轮,开发|测试|运维类,移动前端开发,JavaScript,"['大数据', '金融', '移动端', '前端开发', 'HTML5', 'Javascript']",2020-09-02 15:32:08,上海,浦东新区,"['花木', '世纪公园', '龙阳路地铁']",18k-26k,5-10年,全职,大专,股票期权 年终奖 五险二金 前沿科技
