positionName,companyName,companySize,industryName,city,salary,experience,education
找房地产平面执行美术,世纪瑞博,20-99人,广告营销,北京,5k - 10k,经验不限,大专
高薪找地产平面美术设计师,世纪瑞博,20-99人,广告营销,北京,10k - 15k,1年以内,大专
来晨光找好工作,晨光文具,1000-9999人,其他行业,上海,4k - 6k,经验不限,高中
找美容师美发师学徒，头皮老师,雅业美容美发,1000-9999人,生活服务,上海,10k - 11k,1-3年,本科
找生顾问,融尚私塾,20-99人,在线教育,北京,10k - 15k,3-5年,本科
课程顾问 无需找资源 月薪2w 免费英语课,英孚教育,10000人以上,培训机构,上海,15k - 28k,经验不限,大专
简约设计轻熟电商女装品牌找经验文案,野聚文化,0-20人,电子商务,上海,6k - 8k,经验不限,大专
电话销售+不需要自己找客户,摩天之星企业管理,1000-9999人,企业服务,上海,10k - 15k,1-3年,大专
一万元找地产文案策划,世纪瑞博,20-99人,广告营销,北京,5k - 10k,经验不限,大专
找货车司机,国信联达,20-99人,批发/零售,北京,5k - 6k,1-3年,学历不限
社群营销无须自己找资源找客户,赢家积财,100-499人,计算机软件,北京,11k - 22k,1-3年,学历不限
找网约车司机荣威比亚迪,浦月汽车,20-99人,租赁/拍卖/典当/担保,上海,10k - 11k,1-3年,学历不限
高端艺术品销售+不找客户,磐古博艺,20-99人,文化/体育/娱乐,北京,8k - 12k,1-3年,高中
找长期挖掘机司机一名,销售,0-20人,批发/零售,北京,7k - 8k,1-3年,初中及以下
找独立直播摄像师合作（自带机器）,悠学科技,0-20人,互联网,上海,8k - 10k,3-5年,学历不限
朝阳金盏找4米2货车司机,全城通运,20-99人,交通/运输,北京,7k - 9k,1-3年,学历不限
找带金杯车司机送桶装水，时间自由提成高。,豪得,0-20人,生活服务,北京,9k - 14k,1-3年,学历不限
数据挖掘,尚德机构,10000人以上,在线教育,北京,4k - 8k,经验不限,本科
测试实习生,北大方正电子,1000-9999人,计算机软件,北京,2k - 3k,经验不限,大专
平面设计师,全包圆家居装饰,1000-9999人,生活服务,北京,7k - 11k,3-5年,大专
设计师助理,东易日盛,1000-9999人,装修装饰,北京,2k - 5k,经验不限,高中
设计师助理,东易日盛,1000-9999人,装修装饰,北京,2k - 5k,经验不限,本科
平面设计师,世纪纵横(北京)...,1000-9999人,咨询,上海,8k - 10k,1-3年,本科
高级前端开发工程师,快手,1000-9999人,社交网络,北京,25k - 50k,经验不限,本科
文案策划,新意互动,1000-9999人,互联网,北京,15k - 30k,3-5年,学历不限
设计助理（徐汇、浦东、杨浦、闵行）,上海申远建筑设计,1000-9999人,工程施工,上海,3k - 6k,1-3年,大专
Java,美菜,1000-9999人,电子商务,北京,18k - 30k,3-5年,本科
software engineer,微软中国,10000人以上,计算机软件,北京,20k - 40k,3-5年,本科
Software Engineer,微软中国,10000人以上,计算机软件,上海,20k - 40k,3-5年,本科
C#,微软中国,10000人以上,计算机软件,上海,20k - 40k,3-5年,本科
资深游戏策划师-系统策划(J10861),心动网络,1000-9999人,游戏,上海,20k - 40k,5-10年,本科
资深游戏策划师-关卡策划(J10863),心动网络,1000-9999人,游戏,上海,20k - 40k,5-10年,本科
客服专员电话销售,京科联通,1000-9999人,互联网金融,北京,5k - 10k,经验不限,学历不限
银行客服专员,京科联通,1000-9999人,互联网金融,北京,10k - 11k,经验不限,高中
高级前端专家,阿里巴巴集团,10000人以上,互联网,上海,40k - 50k,5-10年,本科
算法工程师,阿里巴巴集团,10000人以上,互联网,北京,4k - 5k,经验不限,本科
流程专员,自如网,10000人以上,O2O,上海,6k - 8k,经验不限,本科
Java,华钦软件CLPS,1000-9999人,计算机软件,北京,13k - 18k,5-10年,本科
高级java研发工程师,快手,1000-9999人,社交网络,北京,15k - 20k,3-5年,本科
web前端,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
广告算法专家,快手,1000-9999人,社交网络,北京,40k - 70k,3-5年,硕士
算法工程师-【商业化】,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,硕士
Java开发工程师/专家-【商业化】,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
前端开发工程师-【商业化】,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
产品经理(功能设计）,玖富,1000-9999人,互联网金融,北京,20k - 30k,3-5年,本科
前端开发工程师-【商业化研发】,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
平面设计实习生（字体方向）,韩创科技,500-999人,互联网,上海,150-200元/天,在校/应届,本科
前端开发工程师-【商业化研发】,快手,1000-9999人,社交网络,北京,28k - 55k,3-5年,本科
Java,快手,1000-9999人,社交网络,北京,30k - 50k,3-5年,本科
前端开发工程师,快手,1000-9999人,社交网络,北京,25k - 50k,经验不限,本科
前端开发工程师,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
JavaScript,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
Java,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
web前端,快手,1000-9999人,社交网络,北京,30k - 40k,1-3年,本科
JavaScript,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
Java,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
前端开发工程师-【商业化研发】,快手,1000-9999人,社交网络,北京,28k - 55k,3-5年,本科
前端开发工程师,快手,1000-9999人,社交网络,北京,25k - 50k,经验不限,本科
Java开发工程师/专家,快手,1000-9999人,社交网络,北京,20k - 30k,3-5年,本科
前端开发工程师 【商业化直营电商方向】,快手,1000-9999人,社交网络,北京,15k - 30k,3-5年,本科
UX交互设计师,好未来,10000人以上,互联网,北京,18k - 22k,3-5年,本科
前端开发工程师（直营电商方向）,快手,1000-9999人,社交网络,北京,20k - 30k,3-5年,本科
Java,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
前端高级工程师/专家,高德地图,1000-9999人,互联网,北京,30k - 60k,3-5年,本科
设计师实习生,腾讯科技(北京)公司,10000人以上,移动互联网,北京,2k - 3k,经验不限,本科
HTML5,快手,1000-9999人,社交网络,北京,30k - 60k,经验不限,本科
产品经理,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
Java开发工程师,快手,1000-9999人,社交网络,北京,30k - 50k,3-5年,本科
Java开发工程师/专家-【商业化研发】,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
数据挖掘工程师/专家-【商业化】,快手,1000-9999人,社交网络,北京,30k - 50k,经验不限,本科
Java开发工程师,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
短视频文案策划,探探,500-999人,互联网,北京,11k - 22k,1-3年,本科
Java,快手,1000-9999人,社交网络,北京,20k - 40k,经验不限,本科
商务运营实习生,新浪网,1000-9999人,互联网,北京,1k - 2k,经验不限,本科
动漫频道运营编辑,奇虎360,1000-9999人,互联网,北京,8k - 9k,1-3年,本科
Java开发工程师,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
Java,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
前端工程师,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
Java,快手,1000-9999人,社交网络,北京,20k - 40k,1-3年,本科
Java开发工程师/专家-商业化,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
Java开发工程师/专家-【商业化】,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
Java开发工程师/专家-【商业化研发】,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
搜索研发工程师,北京众创互联有限公司,1000-9999人,电子商务,北京,25k - 40k,5-10年,本科
web前端,快手,1000-9999人,社交网络,北京,20k - 35k,经验不限,本科
Java开发工程师/专家-【商业化】（内推）,快手,1000-9999人,社交网络,北京,20k - 40k,3-5年,本科
资深设计师,唯一视觉,1000-9999人,生活服务,上海,11k - 20k,3-5年,大专
web前端,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
前端开发工程师,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
JAVA开发工程师/专家,快手,1000-9999人,社交网络,北京,25k - 50k,1-3年,本科
JAVA开发工程师/专家,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
前端开发专家-【商业化】,快手,1000-9999人,社交网络,北京,40k - 70k,5-10年,本科
Java架构师,快手,1000-9999人,社交网络,北京,50k - 70k,5-10年,本科
产品运营高级经理,BOSS直聘,1000-9999人,人力资源服务,北京,20k - 35k,3-5年,本科
电商策划,唯一视觉,1000-9999人,生活服务,上海,8k - 16k,1-3年,大专
产品运营专员,BOSS直聘,1000-9999人,人力资源服务,北京,12k - 18k,1-3年,本科
Java,快手,1000-9999人,社交网络,北京,30k - 60k,经验不限,本科
Java,快手,1000-9999人,社交网络,北京,25k - 50k,经验不限,本科
nodejs全栈工程师,梦想加,500-999人,互联网,北京,18k - 25k,1-3年,本科
Java,快手,1000-9999人,社交网络,北京,25k - 50k,5-10年,本科
Java,快手,1000-9999人,社交网络,北京,20k - 35k,经验不限,本科
Java工程师（电商营销方向）【商业化研发】,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
nodejs全栈工程师,梦想加,500-999人,互联网,北京,18k - 25k,1-3年,本科
后端开发工程师,快手,1000-9999人,社交网络,北京,30k - 45k,1-3年,本科
广告平台架构师（Java ）-商业化,快手,1000-9999人,社交网络,北京,50k - 80k,5-10年,本科
高级/资深策略算法工程师,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
客服主管（商写项目）,龙湖,1000-9999人,工程施工,北京,6k - 8k,1-3年,大专
用户运营专员,BOSS直聘,1000-9999人,人力资源服务,北京,12k - 18k,1-3年,本科
Java,快手,1000-9999人,社交网络,北京,25k - 50k,3-5年,本科
家装设计师-北四门店,上海家倍得装饰工程,10000人以上,工程施工,北京,3k - 8k,3-5年,大专
家装设计师,上海家倍得装饰工程,10000人以上,工程施工,北京,8k - 13k,3-5年,大专
高级前端工程师,美团点评,10000人以上,O2O,北京,29k - 55k,经验不限,本科
u3d手游前端实习生,搜狐畅游,1000-9999人,游戏,北京,150-200元/天,在校/应届,本科
内容策划,腾讯科技(北京)公司,10000人以上,移动互联网,北京,2k - 3k,在校/应届,本科
广告平台架构师（Java）-【商业化】,快手,1000-9999人,社交网络,北京,40k - 70k,5-10年,本科
Java,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
视觉设计专家,阿里巴巴集团,10000人以上,互联网,上海,18k - 35k,5-10年,本科
小程序用户运营经理,微盟,1000-9999人,互联网,上海,16k - 25k,5-10年,大专
高级前端工程师/专家,阿里巴巴集团,10000人以上,互联网,北京,20k - 40k,3-5年,本科
电话客服（五险一金）,学程教育,500-999人,在线教育,北京,11k - 22k,经验不限,中专/中技
web前端,美团点评,10000人以上,O2O,北京,20k - 40k,3-5年,本科
Web前端开发工程师,好未来,10000人以上,互联网,北京,15k - 30k,3-5年,本科
社群裂变产品经理,5173,1000-9999人,电子商务,上海,11k - 18k,1-3年,大专
前端开发工程师,5173,1000-9999人,电子商务,上海,10k - 15k,3-5年,大专
IT项目管理,5173,1000-9999人,电子商务,上海,10k - 15k,3-5年,大专
运营管理培训生,韩创科技,500-999人,互联网,上海,7k - 12k,经验不限,学历不限
FE前端开发工程师G00276,百度,10000人以上,互联网,北京,10k - 15k,3-5年,本科
产品策略主管,东易日盛,1000-9999人,装修装饰,北京,8k - 10k,3-5年,大专
DBA,5173,1000-9999人,电子商务,上海,11k - 20k,3-5年,大专
容器/网络/运维/内核/研发工程师,快手,1000-9999人,社交网络,北京,30k - 50k,3-5年,本科
产品运营,BOSS直聘,1000-9999人,人力资源服务,北京,12k - 15k,1-3年,本科
Java开发,阿里健康,500-999人,移动互联网,北京,10k - 15k,在校/应届,硕士
社群运营专员（转化）,尚德机构,10000人以上,互联网,北京,15k - 20k,1-3年,本科
21届应届实习生,阿里健康,500-999人,移动互联网,北京,2k - 5k,1年以内,硕士
项目管理专家,高德地图,1000-9999人,互联网,北京,20k - 40k,3-5年,本科
初级软件开发项目经理,5173,1000-9999人,电子商务,上海,8k - 13k,1-3年,大专
