positionName,companyName,companySize,industryName,city,salary,experience,education
21届毕业生(实习),阿里健康,500-999人,移动互联网,北京,300-500元/天,在校/应届,硕士
电商设计,唯一视觉,1000-9999人,生活服务,上海,9k - 14k,1-3年,大专
电商设计,唯一视觉,1000-9999人,生活服务,上海,8k - 16k,3-5年,大专
UI设计师,5173,1000-9999人,电子商务,上海,8k - 13k,1-3年,大专
Python工程师,达达集团,1000-9999人,O2O,上海,20k - 40k,经验不限,学历不限
互联网产品经理,5173,1000-9999人,电子商务,上海,15k - 25k,3-5年,大专
麦考林客户专员,麦考林,500-999人,电子商务,上海,7k - 10k,经验不限,中专/中技
内容编辑,北京尚德机构,10000人以上,在线教育,北京,8k - 10k,1年以内,本科
新媒体运营,花香盛世体育,1000-9999人,在线教育,北京,10k - 12k,3-5年,本科
Java专家,阿里巴巴集团,10000人以上,互联网,上海,30k - 60k,5-10年,本科
后端专家/架构师,阿里巴巴集团,10000人以上,互联网,上海,30k - 60k,5-10年,本科
Java高级/资深工程师,美团点评,10000人以上,O2O,北京,30k - 50k,经验不限,本科
开发专家,阿里巴巴集团,10000人以上,互联网,上海,30k - 60k,5-10年,本科
社群运营,尚德机构,10000人以上,在线教育,北京,10k - 15k,1-3年,本科
JAVA专家、架构师,饿了么,10000人以上,O2O,上海,30k - 60k,5-10年,本科
架构师、JAVA专家,饿了么,10000人以上,O2O,上海,30k - 60k,5-10年,本科
前端工程师,快手,1000-9999人,社交网络,北京,15k - 25k,经验不限,学历不限
后端专家,阿里巴巴集团,10000人以上,互联网,上海,30k - 60k,5-10年,本科
JAVA专家、架构师,阿里巴巴集团,10000人以上,互联网,上海,30k - 60k,5-10年,本科
数据挖掘工程师,快手,1000-9999人,社交网络,北京,28k - 55k,3-5年,本科
办公设备业务员,震旦办公自动化,1000-9999人,企业服务,上海,6k - 8k,经验不限,大专
办公设备业务员,震旦办公自动化,1000-9999人,企业服务,上海,5k - 10k,经验不限,大专
办公设备业务员,震旦办公自动化,1000-9999人,企业服务,上海,6k - 12k,1-3年,大专
办公设备业务员,震旦办公自动化,1000-9999人,企业服务,上海,6k - 12k,经验不限,学历不限
阿里健康-前端高级开发/专家,阿里健康,500-999人,移动互联网,北京,30k - 60k,5-10年,本科
前端开发工程师,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
推荐算法工程师,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,硕士
高级/资深java开发工程师,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
数据开发工程师,快手,1000-9999人,社交网络,北京,30k - 60k,3-5年,本科
创意视觉设计师,卓新服饰,500-999人,其他行业,上海,6k - 12k,1-3年,本科
证券实习生,上海世基,1000-9999人,互联网金融,上海,6k - 12k,经验不限,本科
设计师助理,业之峰装饰,100-499人,工程施工,北京,2k - 5k,经验不限,学历不限
数据架构师,北京金凯利科技,20-99人,数据服务,北京,25k - 50k,1年以内,本科
服装设计师助理,雅拉尔,20-99人,批发/零售,上海,8k - 9k,1-3年,大专
广告设计师实习生,聚优设计,20-99人,其他服务业,上海,100-150元/天,在校/应届,大专
设计师助理,红厂装饰设计,100-499人,工程施工,北京,3k - 5k,经验不限,本科
产品设计师,好多章,0-20人,电子商务,北京,10k - 11k,3-5年,本科
外国留学生实习,米克设计,0-20人,广告/公关/会展,上海,100-110元/天,在校/应届,大专
IT技术支持,东创恒业,0-20人,计算机服务,北京,1k - 6k,1年以内,本科
设计师助理,斯拓,20-99人,广告/公关/会展,上海,6k - 8k,1年以内,本科
平面设计师,楚风神韵,0-20人,广告/公关/会展,北京,4k - 8k,1-3年,大专
三维设计师,翊筱文化,20-99人,广告/公关/会展,上海,12k - 20k,经验不限,学历不限
FAE,北京荣采,0-20人,电子/半导体/集成电路,北京,5k - 10k,在校/应届,本科
室内设计，设计师助理,禾蕴设计,0-20人,装修装饰,上海,4k - 8k,1-3年,本科
展览设计师,翊筱文化,20-99人,广告/公关/会展,上海,12k - 20k,经验不限,本科
策划,玖冠联合,20-99人,文化/体育/娱乐,北京,8k - 10k,1年以内,本科
设计师助理,懋合装饰,20-99人,工程施工,北京,2k - 3k,1年以内,大专
产品设计师,衣川文化,20-99人,移动互联网,北京,9k - 13k,1-3年,大专
设计师助理,紫香柯弘泰装饰,500-999人,工程施工,北京,1k - 2k,1年以内,大专
设计助理,上海申远软装,1000-9999人,装修装饰,上海,4k - 7k,1-3年,大专
淘宝美工全职,家之物语,20-99人,贸易/进出口,上海,5k - 7k,经验不限,学历不限
兼职文案,士康,0-20人,移动互联网,上海,2k - 7k,3-5年,学历不限
项目经理,赛米安半导体,0-20人,电子/半导体/集成电路,北京,5k - 10k,经验不限,本科
设计师助理,易阳装饰(北京),100-499人,工程施工,北京,3k - 5k,经验不限,学历不限
产品总监,A8新媒体集团,100-499人,音乐/视频/阅读,北京,15k - 30k,经验不限,本科
京东店铺设计总监,欧麦贝贝,20-99人,电子商务,北京,10k - 12k,3-5年,本科
设计师助理,博洛尼家居,1000-9999人,工程施工,北京,1k - 4k,经验不限,学历不限
设计师助理/美工助理,佳瑞优拓,0-20人,家具/家电/家居,北京,7k - 10k,1-3年,大专
市场客服,华洋飞鱼,20-99人,交通/运输,上海,6k - 7k,3-5年,本科
家装设计/室内设计,三创国际,20-99人,装修装饰,北京,15k - 20k,1-3年,学历不限
室内/家装设计师/工装设计师/精英设计师,三创国际,20-99人,装修装饰,北京,10k - 15k,1-3年,学历不限
室内设计/家装设计/工装设计/精英设计师,三创装饰,100-499人,工程施工,北京,10k - 15k,1-3年,学历不限
搜索/推荐高工/架构师,京东数字科技,1000-9999人,互联网,北京,35k - 65k,5-10年,本科
JAVA开发工程师,木鱼互动,20-99人,计算机软件,北京,13k - 20k,经验不限,本科
平面设计师,臻睿广告,20-99人,广告营销,上海,6k - 10k,1-3年,本科
电商运营,恒纵实业,0-20人,电子商务,上海,7k - 12k,1-3年,大专
微博内容编辑,贞熙医美,20-99人,医疗健康,上海,6k - 10k,1-3年,大专
微博编辑运营,贞熙医美,20-99人,医疗健康,上海,5k - 8k,1-3年,大专
三维/CAD/制图,天津万茂,0-20人,办公用品及设备,上海,7k - 10k,经验不限,大专
活动项目总控,迎皇文化传播有限公司,100-499人,媒体,上海,10k - 15k,1-3年,本科
活动项目经理,迎皇文化传播有限公司,100-499人,媒体,北京,10k - 15k,1-3年,本科
电商运营,玖像,0-20人,生活服务,上海,15k - 25k,5-10年,本科
高级UI设计师,小糖互联,100-499人,移动互联网,北京,15k - 30k,3-5年,本科
室内设计,青岛有住,500-999人,工程施工,北京,3k - 6k,1年以内,本科
活动总控,迎皇文化传播有限公司,100-499人,媒体,北京,10k - 11k,1-3年,本科
U3D，UE4开发工程师,杰特瑞能源科技,20-99人,电力/热力/燃气/水利,北京,20k - 30k,经验不限,本科
营销顾问,北上投资,100-499人,互联网金融,北京,5k - 10k,1-3年,大专
C++ 游戏服务端开发工程师【中高级】,光合起源,20-99人,游戏,北京,15k - 30k,1-3年,本科
新媒体主编,飞博共创,100-499人,移动互联网,北京,15k - 25k,经验不限,大专
软装设计师助理,璧煜设计,20-99人,装修装饰,上海,4k - 7k,3-5年,本科
运营文案文职,上海每粼实业有限公司,0-20人,装修装饰,上海,5k - 8k,经验不限,大专
室内软装设计,上海共好投资,100-499人,生活服务,上海,7k - 8k,1-3年,学历不限
前端技术Leader（React方向）,爱用科技,100-499人,电子商务,上海,13k - 20k,3-5年,本科
新媒体文案,poro,100-499人,广告营销,北京,6k - 10k,经验不限,学历不限
美术分镜,玖零六,20-99人,音乐/视频/阅读,北京,10k - 15k,1-3年,本科
IT技术支持,戴普联创,20-99人,计算机硬件,北京,5k - 6k,1年以内,学历不限
市场平面设计师,斯拓,20-99人,广告/公关/会展,上海,6k - 8k,经验不限,大专
品牌策划,天下传媒,20-99人,广告/公关/会展,北京,5k - 10k,经验不限,本科
Unity3D C# 游戏开发工程师【中级】,光合起源,20-99人,游戏,北京,10k - 15k,1-3年,本科
微信文案运营,赢创互动,0-20人,移动互联网,北京,5k - 9k,1-3年,本科
急招威尔士健身客服专员,威尔士健身,1000-9999人,生活服务,上海,8k - 12k,经验不限,学历不限
设计兼静态页面制作,大视野,500-999人,在线教育,北京,6k - 10k,1-3年,本科
高级 JAVA开发工程师,云并购,20-99人,移动互联网,北京,17k - 30k,3-5年,本科
软件售前工程师,畅捷信息,20-99人,计算机软件,上海,9k - 14k,3-5年,大专
web前端,上海事巧教育科技,0-20人,智能硬件,上海,13k - 20k,3-5年,本科
前端开发工程师,快手,1000-9999人,互联网,北京,25k - 50k,3-5年,本科
美术指导\资深设计,宣亚国际,100-499人,广告/公关/会展,上海,9k - 15k,经验不限,学历不限
平面设计(实习),西席文化,0-20人,音乐/视频/阅读,北京,100-150元/天,在校/应届,本科
.net开发高级工程师,畅捷信息,20-99人,计算机软件,上海,15k - 24k,5-10年,本科
中级java开发工程师,云并购,20-99人,移动互联网,北京,15k - 21k,3-5年,本科
电商平面设计主管,泰缘,20-99人,电子商务,上海,8k - 12k,1-3年,学历不限
产品运营,机锂,0-20人,电子商务,上海,10k - 15k,在校/应届,本科
.net高级开发/项目经理,畅捷信息,20-99人,计算机软件,上海,15k - 20k,5-10年,大专
Unity3D引擎开发【资深】,光合起源,20-99人,游戏,北京,18k - 35k,5-10年,本科
项目执行助理,北京元子核,0-20人,广告/公关/会展,北京,6k - 11k,经验不限,大专
美工,洋文贸易,0-20人,批发/零售,上海,6k - 8k,1-3年,学历不限
中高级运维工程师,宝兰德,100-499人,计算机软件,上海,15k - 30k,5-10年,本科
编辑,缦学堂,20-99人,在线教育,北京,5k - 8k,1-3年,大专
服装设计师,森森欣悦,0-20人,服装/纺织/皮革,北京,6k - 7k,1-3年,本科
内容运营,屏芯科技,500-999人,计算机软件,北京,8k - 12k,1-3年,本科
文案策划,上海美穹物业管理,0-20人,电子商务,上海,5k - 8k,1-3年,大专
JAVA高级研发工程师/技术专家,快手,1000-9999人,互联网,北京,25k - 40k,经验不限,本科
Java,快手,1000-9999人,互联网,北京,20k - 40k,3-5年,本科
Node.js,诗序软件,0-20人,计算机软件,上海,8k - 16k,1年以内,本科
矿池运营助理,小虫数据科技,100-499人,互联网,上海,6k - 10k,1-3年,大专
新媒体文案,伊雅,20-99人,贸易/进出口,北京,4k - 7k,1-3年,大专
内容运营经理,屏芯科技,500-999人,计算机软件,北京,15k - 25k,3-5年,本科
室内设计助理设计师,本生装饰,20-99人,工程施工,北京,6k - 10k,1-3年,大专
文案策划,慧宇,100-499人,在线教育,北京,5k - 9k,1-3年,大专
视觉设计师,MOLSSI,0-20人,广告营销,上海,6k - 8k,1年以内,大专
室内设计师助理,本生装饰,20-99人,工程施工,北京,5k - 10k,1年以内,大专
web前端,诗序软件,0-20人,计算机软件,上海,8k - 16k,1年以内,本科
新媒体运营专员,上海京鼎动漫,20-99人,文化/体育/娱乐,上海,6k - 9k,1-3年,大专
未来制作人计划（游戏策划岗）,疯狂游戏,100-499人,游戏,北京,18k - 22k,在校/应届,本科
电商运营主管/经理（快消品）,大绥基业,20-99人,贸易/进出口,北京,11k - 22k,3-5年,学历不限
未来制作人计划（产品岗、游戏策划岗）,疯狂游戏,100-499人,游戏,北京,18k - 22k,1年以内,本科
未来制作人计划（产品岗）,疯狂游戏,100-499人,游戏,北京,18k - 22k,在校/应届,本科
高级软件工程师,卡姆福,20-99人,其他行业,北京,15k - 25k,3-5年,本科
设计师助理,本生装饰,20-99人,工程施工,北京,5k - 6k,1-3年,大专
全栈工程师,锐途科技,20-99人,互联网,北京,12k - 24k,3-5年,本科
资深文案,慧宇智业教育科技,100-499人,在线教育,北京,7k - 10k,3-5年,大专
前端工程师,锐途科技,20-99人,互联网,北京,8k - 12k,3-5年,本科
产品经理,欢网科技,100-499人,互联网,北京,15k - 22k,1-3年,本科
Java开发工程师,快手,1000-9999人,互联网,北京,30k - 60k,3-5年,本科
【中高级】前端开发工程师,锐途科技,20-99人,互联网,北京,12k - 24k,3-5年,本科
【中高级】前端开发工程师,锐途科技,20-99人,互联网,北京,15k - 25k,3-5年,本科
【中高级】前端开发工程师,锐途科技,20-99人,互联网,北京,12k - 20k,3-5年,本科
品牌视觉设计师,MOLSSI,0-20人,广告营销,上海,8k - 10k,1-3年,本科
运营助理/专员,DIY,100-499人,家具/家电/家居,上海,4k - 6k,在校/应届,大专
Python实习生,贞历,0-20人,移动互联网,上海,150-250元/天,在校/应届,本科
文案编辑,天羽国际文化,0-20人,文化/体育/娱乐,北京,10k - 15k,3-5年,本科
京东运营,初荷TRUEHER,20-99人,电子商务,北京,5k - 6k,1-3年,大专
天猫美工/平面设计/电商美工5000-8000元,沪芯电子,20-99人,电子商务,上海,6k - 8k,1-3年,大专
游戏数值策划【中高级】,光合起源,20-99人,游戏,北京,15k - 30k,3-5年,本科
美术设计师（2D/3D）,梦之城,20-99人,互联网,北京,5k - 10k,经验不限,大专
产品设计师,梦之城,20-99人,互联网,北京,5k - 10k,经验不限,大专
产品设计师,梦之城,20-99人,互联网,北京,10k - 15k,经验不限,大专
视觉设计师,谷石创意工作室,0-20人,企业服务,北京,5k - 7k,1年以内,本科
游戏角色,梦之城,20-99人,互联网,北京,10k - 15k,1年以内,大专
资深美术指导,墨点,20-99人,广告营销,上海,18k - 22k,3-5年,大专
GS游戏引导员,龙游游戏,100-499人,游戏,上海,4k - 6k,1年以内,本科
电商运营,麦扑艺术,20-99人,家具/家电/家居,上海,8k - 10k,3-5年,本科
贷款专员,惠森投资咨询,0-20人,互联网金融,北京,8k - 10k,1年以内,学历不限
信贷业务员,惠森投资咨询,0-20人,互联网金融,北京,8k - 10k,1年以内,大专
资深美妆电商设计师,上海漫吟贸易有限公司,20-99人,电子商务,上海,10k - 15k,3-5年,大专
室内设计,新加坡恺天装饰设计,20-99人,工程施工,北京,8k - 16k,3-5年,大专
GS游戏引导员,龙游游戏,100-499人,游戏,上海,4k - 6k,1年以内,本科
电商运营,麦扑艺术,20-99人,家具/家电/家居,上海,8k - 10k,3-5年,本科
电商美妆美工设计师,上海漫吟贸易有限公司,20-99人,电子商务,上海,8k - 12k,1-3年,大专
英语客服（英语翻译）,万润诚达,20-99人,电子商务,北京,7k - 9k,经验不限,本科
英文客服（锻炼英文技能，高发展空,万润诚达,20-99人,电子商务,北京,6k - 8k,经验不限,本科
跨境英语售后,万润诚达,20-99人,电子商务,北京,7k - 8k,1-3年,大专
电话客服,摩天之星企业管理,1000-9999人,企业服务,上海,5k - 10k,1年以内,本科
主材设计师,新加坡恺天装饰设计,20-99人,工程施工,北京,4k - 8k,1-3年,大专
技术支持工程师,达哲信息,20-99人,生活服务,上海,6k - 8k,经验不限,大专
平面设计师（产品方向）,北京此时此地文创,20-99人,新闻/出版,北京,7k - 12k,1-3年,本科
游戏制作人,疯狂游戏,100-499人,游戏,北京,40k - 70k,5-10年,本科
面销,北京世纪之约信息咨询,100-499人,生活服务,北京,5k - 8k,1年以内,高中
亚马逊销售运营,隽繁机械,0-20人,电子商务,上海,10k - 15k,1-3年,本科
产品设计师（体育服饰产品类）,邹轩体育,100-499人,文化/体育/娱乐,上海,7k - 12k,3-5年,大专
软件销售,同创蓝天,100-499人,电子商务,北京,10k - 15k,经验不限,学历不限
售前,同创蓝天,100-499人,电子商务,北京,8k - 12k,经验不限,学历不限
福利待遇高五险一金+奔驰车,珍岛集团,1000-9999人,互联网,上海,16k - 23k,经验不限,大专
记者,松树资本,0-20人,互联网金融,北京,8k - 10k,1-3年,大专
资深文案,饮食伙计,0-20人,医疗健康,上海,8k - 12k,1-3年,本科
创意思维细节控前端工程师,DigitalCreative,0-20人,其他专业服务,上海,15k - 25k,3-5年,学历不限
