positionAdvantage
周末双休
包住宿 五险 无责底薪4000
"专业培训,五险一金,朝十晚七"
弹性工时、核心岗位、AI
五险一金，周末双休，晋升空间大
只要你有梦想，我们就给你一个飞舞的平台。
知名企业 高薪招聘 待遇丰厚 年底双薪
福利待遇好，绩效薪资多，晋升快
核心部门，大牛带队
五险一金
产品前景好、领导nice、行业发展好
"集团资源多,包三自助餐,五险一金高"
想搞钱的你就来
六险一金，大团队，福利好，14薪+
公司福利好
周末双休
包住宿 五险 无责底薪4000
"专业培训,五险一金,朝十晚七"
弹性工时、核心岗位、AI
五险一金，周末双休，晋升空间大
知名企业 高薪招聘 待遇丰厚 年底双薪
福利待遇好，绩效薪资多，晋升快
核心部门，大牛带队
五险一金
产品前景好、领导nice、行业发展好
"集团资源多,包三自助餐,五险一金高"
想搞钱的你就来
六险一金，大团队，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
"集团资源多,包三自助餐,五险一金高"
想搞钱的你就来
五险一金
六险一金，大团队，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
包住，社保，高提成
发展空间好，管住宿
六险一金 节日福利 餐补 带薪年假
加班很少 朝九晚六 五险一金 试用期全额
HR 在线等你联系  。
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
世界500强、扁平化管理
五险一金
大平台，六险一金，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
包住，社保，高提成
发展空间好，管住宿
六险一金 节日福利 餐补 带薪年假
加班很少 朝九晚六 五险一金 试用期全额
HR 在线等你联系  。
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
绩效奖金 节日礼品  定期体检
世界500强、扁平化管理
五险一金
大平台，六险一金，福利好，14薪+
公司福利好
六险一金
HR 在线等你联系  。
周末双休 试用期全额 绩效奖金 定期体检
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
绩效奖金 节日礼品  定期体检
不加班、双休、节假日、年终奖、餐补
世界很大我想去看看
"高职高薪,带薪寒假,班车接送,提供住宿"
世界500强、扁平化管理
五险一金
大平台，六险一金，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
包住，社保，高提成
发展空间好，管住宿
六险一金 节日福利 餐补 带薪年假
加班很少 朝九晚六 五险一金 试用期全额
HR 在线等你联系  。
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
绩效奖金 节日礼品  定期体检
世界500强、扁平化管理
五险一金
大平台，六险一金，福利好，14薪+
公司福利好
六险一金
周末双休 试用期全额 绩效奖金 定期体检
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
绩效奖金 节日礼品  定期体检
不加班、双休、节假日、年终奖、餐补
世界很大我想去看看
"高职高薪,带薪寒假,班车接送,提供住宿"
大牛多、提升快
世界500强、扁平化管理
五险一金
大平台，六险一金，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
包住，社保，高提成
发展空间好，管住宿
六险一金 节日福利 餐补 带薪年假
加班很少 朝九晚六 五险一金 试用期全额
HR 在线等你联系  。
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
绩效奖金 节日礼品  定期体检
世界500强、扁平化管理
五险一金
大平台，六险一金，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
包住，社保，高提成
发展空间好，管住宿
六险一金 节日福利 餐补 带薪年假
加班很少 朝九晚六 五险一金 试用期全额
HR 在线等你联系  。
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
五险一金 周末双休 车补 下午茶
绩效奖金 节日礼品  定期体检
产品前景好、领导nice、行业发展好
"集团资源多,包三自助餐,五险一金高"
想搞钱的你就来
五险一金
六险一金，大团队，福利好，14薪+
公司福利好
2019年入选为粤港澳大湾区百强企业名录
包住，社保，高提成
发展空间好，管住宿
六险一金 节日福利 餐补 带薪年假
加班很少 朝九晚六 五险一金 试用期全额
HR 在线等你联系  。
氛围轻松，年轻团队，年终奖，五险一金
晋升空间大
创业公司、氛围好、福利全
丰富业务场景，海量数据，大牛云集
五险一金；餐补
平台稳定 晋升通道顺畅
社保
薪资不是问题，关键在于你的能力
底薪高提成高，待遇好
"五险一金,股权期权,年底分红,双休"
偏平架构、强调同理心和团队共赢、快速成长
"牛人团队,福利多,平台好"
股票期权 五险一金 全勤奖 弹性工作
满1年十三薪，其它奖励根据盈利状况
五险一金坐班工作轻松包吃住
五险一金，股权激励
java
行业前景
"丰富业务场景,海量数据,大牛云集,待遇优"
五险一金；餐补
平台稳定 晋升通道顺畅
社保
薪资不是问题，关键在于你的能力
底薪高提成高，待遇好
等你来面试…
"五险一金,股权期权,年底分红,双休"
偏平架构、强调同理心和团队共赢、快速成长
"牛人团队,福利多,平台好"
股票期权 五险一金 全勤奖 弹性工作
满1年十三薪，其它奖励根据盈利状况
五险一金坐班工作轻松包吃住
五险一金，股权激励
java
弹性工作 带薪年假
"丰富业务场景,海量数据,大牛云集,待遇优"
福利齐全 专业培训 知名企业
五险一金；餐补
平台稳定 晋升通道顺畅
社保
上市集团、带薪年假、全额五险一金
只要撸起袖子加油干，一不小心工资就上万！
底薪高提成高，待遇好
世界500强 大平台 包三餐 双休
等你来面试…
"五险一金,股权期权,年底分红,双休"
偏平架构、强调同理心和团队共赢、快速成长
"牛人团队,福利多,平台好"
股票期权 五险一金 全勤奖 弹性工作
"区块链，行业龙头,硅谷大牛,福利好"
大厂产研团队背景，发展空间大，技术氛围好
五险一金周末双休
组织不属于股东和创始团队，属于长期贡献者
周末双休 包餐 社保公积金 节假日礼金
福利待遇好，发展前景广阔
晋升机会，双休，节日福利，五险一金
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 有偿加班
发展前景好 福利待遇佳 工作氛围好
"丰厚薪酬,海外运营,成长空间"
鼓励内部创业，缴纳社保，坐班时间灵活。
年轻团队
团队管理，晋升公平，公正，多次国内外游学
五险一金
"行业领先,福利丰厚,扁平管理,技术牛"
组织不属于股东和创始团队，属于长期贡献者
周末双休 包餐 社保公积金 节假日礼金
福利待遇好，发展前景广阔
晋升机会，双休，节日福利，五险一金
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 项目稳定
公司发展前景好，氛围好，股权激励
挑战与机会并存、老板强力支持
鼓励内部创业，缴纳社保，坐班时间灵活。
年轻团队
团队管理，晋升公平，公正，多次国内外游学
五险一金
年终奖
带薪年假 周末双休
"行业领先,福利丰厚,扁平管理,技术牛"
组织不属于股东和创始团队，属于长期贡献者
周末双休 包餐 社保公积金 节假日礼金
福利待遇好，发展前景广阔
晋升机会，双休，节日福利，五险一金
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 项目稳定
公司发展前景好，氛围好，股权激励
"丰厚薪酬,海外运营,成长空间"
鼓励内部创业，缴纳社保，坐班时间灵活。
年轻团队
团队管理，晋升公平，公正，多次国内外游学
五险一金
年终奖
带薪年假 周末双休
"区块链，行业龙头,硅谷大牛,福利好"
微服务 高并发 弹性上班 无加班
大厂产研团队背景，发展空间大，技术氛围好
五险一金周末双休
组织不属于股东和创始团队，属于长期贡献者
周末双休 包餐 社保公积金 节假日礼金
福利待遇好，发展前景广阔
晋升机会，双休，节日福利，五险一金
轻松氛围
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 有偿加班
发展前景好 福利待遇佳 工作氛围好
"丰厚薪酬,海外运营,成长空间"
鼓励内部创业，缴纳社保，坐班时间灵活。
团队管理，晋升公平，公正，多次国内外游学
"区块链，行业龙头,硅谷大牛,福利好"
双休、定期体检、旅游、包含三餐、补助
微服务 高并发 弹性上班 无加班
大厂产研团队背景，发展空间大，技术氛围好
五险一金周末双休
组织不属于股东和创始团队，属于长期贡献者
周末双休 包餐 社保公积金 节假日礼金
周末双休、年度旅游、带薪年假、社保五险
晋升机会，双休，节日福利，五险一金
轻松氛围
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 有偿加班
发展前景好 福利待遇佳 工作氛围好
"丰厚薪酬,海外运营,成长空间"
鼓励内部创业，缴纳社保，坐班时间灵活。
"区块链，行业龙头,硅谷大牛,福利好"
高薪
双休、定期体检、旅游、包含三餐、补助
微服务 高并发 弹性上班 无加班
大厂产研团队背景，发展空间大，技术氛围好
五险一金周末双休
和有能力的人一起共事是不要用面子来证明的
周末双休 包餐 社保公积金 节假日礼金
周末双休、年度旅游、带薪年假、社保五险
晋升机会，双休，节日福利，五险一金
轻松氛围
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 有偿加班
发展前景好 福利待遇佳 工作氛围好
"丰厚薪酬,海外运营,成长空间"
"区块链，行业龙头,硅谷大牛,福利好"
"审核,五险一金,员工福利,团队旅游"
高薪
双休、定期体检、旅游、包含三餐、补助
微服务 高并发 弹性上班 无加班
大厂产研团队背景，发展空间大，技术氛围好
五险一金周末双休
六险一金 周末双休 带薪年假 大牛带队
和有能力的人一起共事是不要用面子来证明的
周末双休 包餐 社保公积金 节假日礼金
周末双休、年度旅游、带薪年假、社保五险
晋升机会，双休，节日福利，五险一金
轻松氛围
五险一金、绩效奖金、带薪年假、周末双休
5天工作制 年终奖 六险一金 有偿加班
五险一金、项目奖金、年底分红、带薪年假
机遇多，培训体系，带薪休假
"节日福利,多项补助,氛围轻松"
双休、免费工作餐、五险
90后团队、晋升机制、定期团建、
绩效奖金 年底双薪 年度旅游 节日福利五险
社交电商未来十年趋势！
人尽其才，物尽其用。
"五险一金,带薪年假,员工食堂,周末双休"
五险一金、团队活动，晋升空间
区块链行业，互联网氛围，薪资福利丰厚
包三餐 福利健全 五险一金
轻松
"五险一金,绩效奖金,员工旅游,定期体检"
"带薪休假,双休"
五险一金、项目奖金、年底分红、带薪年假
"节日福利,多项补助,氛围轻松"
双休、免费工作餐、五险
绩效奖金 年底双薪 年度旅游 节日福利五险
社交电商未来十年趋势！
"五险一金,带薪年假,员工食堂,周末双休"
五险一金、团队活动，晋升空间
区块链行业，互联网氛围，薪资福利丰厚
包三餐 福利健全 五险一金
轻松
"五险一金,绩效奖金,员工旅游,定期体检"
"带薪休假,双休"
稳定项目 技术大牛云集
赚钱的来
五险一金周末双休
五险一金、项目奖金、年底分红、带薪年假
机遇多，培训体系，带薪休假
"节日福利,多项补助,氛围轻松"
双休、免费工作餐、五险
90后团队、晋升机制、定期团建、
绩效奖金 年底双薪 年度旅游 节日福利五险
社交电商未来十年趋势！
人尽其才，物尽其用。
"五险一金,带薪年假,员工食堂,周末双休"
五险一金、团队活动，晋升空间
区块链行业，互联网氛围，薪资福利丰厚
包三餐 福利健全 五险一金
轻松
"五险一金,绩效奖金,员工旅游,定期体检"
"带薪休假,双休"
"500强,车补房补,带薪年假,六险一金"
