positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
go研发高级工程师,摩比神奇（北京）信息技术有限公司,150-500人,移动互联网,不需要融资,开发|测试|运维类,后端开发,GO|Golang,"['Java', 'PHP', 'C++', 'Golang']",2020-09-04 08:14:50,北京,东城区,,40k-70k,3-5年,全职,本科,"免费餐饮,免费健身,弹性工作"
健身房店长,深圳市路通网络技术有限公司,500-2000人,"移动互联网,游戏",不需要融资,服务业,美容|保健|健身,健身顾问|教练,['视频'],2020-09-04 08:14:45,宜春,袁州区,,3k-5k,1-3年,全职,不限,五险一金 年度体检旅游
招C照3年代驾司机,新方（重庆）科技有限公司,少于15人,金融、汽车丨出行,未融资,综合职能|高级管理,人力资源,其他人力资源,"['汽车', '物流']",2020-09-04 08:14:44,贵阳,花溪区,,8k-12k,3-5年,全职,不限,招聘商务司机日薪300到500以上
储备干部管培生,深圳市智慧湾科技有限公司,50-150人,"移动互联网,硬件",不需要融资,公务员|其他,储备干部|培训生|实习生,储备干部,['硬件制造'],2020-09-04 08:14:43,惠州,惠阳区,,4k-5k,1年以下,全职,本科,发展机会多、福利多
无责5.5K起+人事专员+招聘绩效,深圳市乐有家控股集团有限公司,2000人以上,"企业服务,消费生活",不需要融资,综合职能|高级管理,人力资源,招聘,"['行政', '绩效考核', '人事', '招聘']",2020-09-04 08:14:38,深圳,,,6k-10k,1-3年,全职,大专,每月晋升，五险一金，带组带店奖，朝九晚六
测试工程师（初中级）,深圳市汇合发展有限公司,2000人以上,"企业服务,金融",不需要融资,开发|测试|运维类,测试,自动化测试,"['功能测试', '接口测试', '自动化测试']",2020-09-04 08:14:22,杭州,滨江区,['江南'],8k-15k,1-3年,全职,本科,大佬带队 管理规范 五天七小时
UI设计师,科学技术文献出版社,50-150人,医疗丨健康,不需要融资,设计类,视觉,UI,"['医疗健康', '大数据', 'UI', '网页设计', '美工', '视觉']",2020-09-04 08:14:11,济南,,,8k-13k,不限,全职,本科,科技部 政府项目 人工智能
c/c++开发工程师（北京）,北京人大金仓信息技术股份有限公司,150-500人,数据服务,不需要融资,开发|测试|运维类,后端开发,C|C++,['C'],2020-09-04 08:13:57,北京,朝阳区,"['望京', '来广营']",10k-20k,不限,全职,本科,六险一金，定期体检，餐补交补，年底奖金
行政人事助理,佛山三合壹信息科技有限公司,50-150人,其他,不需要融资,综合职能|高级管理,行政,行政,"['行政', '助理']",2020-09-04 08:13:47,佛山,禅城区,,3k-5k,不限,全职,不限,底薪+补贴+奖金+社保
php开发工程师,厦门复力信息科技有限公司,少于15人,"金融,软件开发",未融资,开发|测试|运维类,后端开发,PHP,"['金融', '汽车']",2020-09-04 08:13:35,厦门,湖里区,,11k-20k,5-10年,全职,本科,"金融,互联网"
游戏主策划,广州赫墨拉信息科技有限公司,50-150人,游戏,天使轮,产品|需求|项目类,游戏策划,游戏策划,"['游戏', '游戏策划', '系统', '制作人']",2020-09-04 08:13:21,广州,天河区,['石牌'],15k-30k,3-5年,全职,本科,"五险一金,全勤奖，年终双薪，项目奖"
bi工程师,北京新锐在线科技有限公司,150-500人,"移动互联网,企业服务",未融资,开发|测试|运维类,数据开发,BI工程师,['金融'],2020-09-04 08:12:50,北京,丰台区,,6k-10k,1年以下,全职,大专,五险一金，商业险，综合补助，话费补贴
软件测试工程师（珠海）,上海艾融软件股份有限公司,500-2000人,"移动互联网,金融",上市公司,开发|测试|运维类,测试,测试工程师,"['功能测试', '性能测试', '自动化测试']",2020-09-04 08:12:04,珠海,,,10k-15k,1-3年,全职,本科,五险一金 、节日福利、团队聚餐、提供发展平台
