positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
业务培训师,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,综合职能|高级管理,其他职能职位,其他职能职位,['教育'],2020-09-02 19:53:38,北京,海淀区,,15k-25k,3-5年,全职,本科,部门氛围好，发展空间大
社群策略运营,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,策略运营,"['教育', '移动互联网']",2020-09-02 19:53:37,北京,海淀区,['牡丹园'],15k-25k,3-5年,全职,本科,平台发展前景好，团队氛围好
高级学科运营,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,产品运营,"['教育', '工具软件', '转化变现', '裂变拉新']",2020-09-02 19:53:37,北京,海淀区,,20k-40k,3-5年,全职,本科,公司前景广阔、团队氛围好、上升空间大
学科运营,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,运营,"['大数据', '工具软件', '转化变现', '裂变拉新']",2020-09-02 19:53:37,北京,海淀区,,15k-30k,1-3年,全职,本科,发展前景好、上升空间大
数据分析经理,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,产品|需求|项目类,数据分析,数据分析,"['数据分析', '商业']",2020-09-02 19:53:37,北京,海淀区,,20k-30k,5-10年,全职,本科,平台发展前景好，团队氛围好
课程产品设计,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,运营,"['教育', '移动互联网']",2020-09-02 19:53:37,北京,海淀区,"['西北旺', '上地', '马连洼']",15k-25k,3-5年,全职,本科,平台发展前景好，团队氛围好
课程产品策略,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,策略运营,"['教育', '移动互联网', '运营', '策略运营']",2020-09-02 19:53:37,北京,海淀区,"['西北旺', '上地', '马连洼']",15k-30k,3-5年,全职,本科,平台发展前景好，团队氛围好
短视频运营（微信视频号方向）,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,内容运营,"['直播', '视频', '用户增长', '转化变现']",2020-09-02 19:53:37,北京,海淀区,,15k-25k,3-5年,全职,本科,公司发展前景好、上升空间大
社群用户增长,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,运营,"['视频', '用户增长', '裂变拉新']",2020-09-02 19:53:37,北京,海淀区,,15k-25k,3-5年,全职,本科,公司发展前景好，岗位上升空间大
公众号运营,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,新媒体运营,"['新媒体运营', '微信运营']",2020-09-02 19:53:37,北京,海淀区,,15k-20k,3-5年,全职,本科,公司发展前景好，岗位提升空间大
内容创作（理科）,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,内容运营,[],2020-09-02 19:53:37,北京,海淀区,,15k-25k,1-3年,全职,本科,团地氛围好，上升空间大
数学内容创作,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,内容运营,['内容运营'],2020-09-02 19:53:37,北京,海淀区,,15k-25k,1-3年,全职,本科,公司发展前景好，职位上升空间大
前端开发工程师,集好家(苏州)科技有限公司,15-50人,物联网,未融资,开发|测试|运维类,前端开发,WEB前端,"['jQuery', 'Web前端', 'HTML5']",2020-09-02 19:53:37,郑州,经开区,,5k-6k,1-3年,全职,大专,Open氛围、五险一金、各种福利、团建、旅游等
短视频编导（微信视频号方向 ）,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,运营,[],2020-09-02 19:53:36,北京,海淀区,,15k-25k,3-5年,全职,本科,公司发展前景好，发展空间大
微信公众号运营,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,运营|编辑|客服类,运营,微信运营,"['内容运营', '新媒体运营']",2020-09-02 19:53:36,北京,海淀区,,15k-25k,3-5年,全职,本科,公司发展前景好，岗位提升空间大
招聘顾问,小船出海教育科技（北京）有限公司,2000人以上,工具,D轮及以上,综合职能|高级管理,人力资源,招聘,['招聘'],2020-09-02 19:53:36,北京,海淀区,,15k-30k,5-10年,全职,本科,团队氛围好，公司行业前景好
法律风控,北京丽兹行房地产顾问有限公司,500-2000人,"企业服务,广告营销",不需要融资,综合职能|高级管理,法务,法务,['法务'],2020-09-02 19:53:26,北京,朝阳区,['望京'],12k-15k,1-3年,全职,本科,公司氛围好，晋升机会多
高级运营经理,深圳市新国都股份有限公司,2000人以上,"金融,硬件",上市公司,运营|编辑|客服类,高端运营|编辑|客服类,运营经理|主管,"['移动互联网', '媒体']",2020-09-02 19:53:11,深圳,南山区,,15k-25k,3-5年,全职,本科,发展前景；团队实力
高级java开发工程师,深圳市新国都股份有限公司,2000人以上,"金融,硬件",上市公司,开发|测试|运维类,后端开发,Java,"['分布式', 'Java', 'Python', 'Shell']",2020-09-02 19:53:11,深圳,南山区,,20k-30k,5-10年,全职,本科,福利待遇
