positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
数据分析师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,开发|测试|运维类,数据开发,BI工程师,['Spark'],2020-09-02 16:03:45,深圳,南山区,['南山区'],15k-30k,3-5年,全职,不限,腾讯系，前景好
用户增长与数据Web前端开发工程师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,开发|测试|运维类,前端开发,WEB前端,"['HTML', '前端开发', 'CSS', 'Web前端']",2020-09-02 16:03:45,深圳,南山区,['南山区'],14k-28k,不限,全职,不限,"腾讯系团队,扁平管理,六险一金"
用户增长产品实习生,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,产品|需求|项目类,产品经理,产品助理,"['用户研究', '需求分析', '数据分析']",2020-09-02 16:03:45,深圳,南山区,,3k-5k,应届毕业生,兼职,不限,"腾讯系团队,扁平管理,六险一金"
高级交互设计师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,设计类,交互,交互设计师,['交互'],2020-09-02 16:03:45,深圳,南山区,,18k-25k,不限,全职,不限,"腾讯系团队,扁平管理,六险一金"
【2021届秋招】交互设计师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,设计类,交互,交互设计师,"['交互', 'UI']",2020-09-02 16:03:45,深圳,南山区,,8k-15k,应届毕业生,全职,本科,腾讯系
海外增长产品经理,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,产品|需求|项目类,产品经理,增长产品经理,"['产品策划', '用户增长', '需求分析']",2020-09-02 16:03:45,深圳,南山区,['南山区'],15k-30k,3-5年,全职,本科,"腾讯系团队,扁平管理,六险一金"
TO B业务Web后台开发工程师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,开发|测试|运维类,后端开发,PHP,['后端'],2020-09-02 16:03:45,深圳,南山区,,14k-28k,1-3年,全职,不限,"腾讯系团队,扁平管理,六险一金"
风控与服务PHP开发工程师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,开发|测试|运维类,后端开发,PHP,['后端'],2020-09-02 16:03:45,深圳,南山区,"['科技园', '西丽', '大冲']",14k-28k,1-3年,全职,不限,"腾讯系团队,扁平管理,六险一金"
【2021届秋招】客户经理（深圳）,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,销售类,销售,销售专员|助理,"['销售', '客户代表']",2020-09-02 16:03:44,深圳,南山区,['南山区'],6k-12k,应届毕业生,全职,本科,腾讯系
华北渠道商务,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,市场|商务类,市场|营销,商务渠道,['金融'],2020-09-02 16:03:44,北京,朝阳区,"['燕莎', '麦子店', '亮马桥']",18k-35k,5-10年,全职,本科,发展前景、福利保障
企业IT-Web后端/Node.js工程师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,开发|测试|运维类,后端开发,后端开发,"['Node.js', 'PHP', 'Java', '.NET']",2020-09-02 16:03:44,深圳,南山区,"['大冲', '科技园']",14k-28k,1-3年,全职,本科,腾讯系 平台大
项目经理,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,产品|需求|项目类,项目管理,项目经理,['项目管理'],2020-09-02 16:03:44,深圳,南山区,,15k-25k,3-5年,全职,不限,"腾讯系团队,扁平管理,六险一金"
【2021届秋招】客户经理（北京）,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,销售类,销售,销售专员|助理,"['销售', '客户代表']",2020-09-02 16:03:44,北京,朝阳区,"['燕莎', '麦子店', '亮马桥']",6k-12k,应届毕业生,全职,本科,腾讯系
