positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
视频设计主管,广州星石网络科技有限公司,50-150人,游戏,不需要融资,设计类,原画|美术|特效,视频,"['游戏', 'AE软件']",2020-09-02 16:39:33,广州,天河区,['棠下'],13k-20k,3-5年,全职,大专,双休 下午茶 团建 包餐
sem优化师,广州星石网络科技有限公司,50-150人,游戏,不需要融资,市场|商务类,渠道|推广,SEM,"['游戏', 'SEM', '渠道推广']",2020-09-02 16:39:33,广州,天河区,['棠下'],8k-13k,1-3年,全职,不限,双休 下午茶 团建 包餐
视频设计助理,广州星石网络科技有限公司,50-150人,游戏,不需要融资,文娱|传媒|艺术|体育,影视|媒体,后期制作,['游戏'],2020-09-02 16:39:33,广州,天河区,['棠下'],4k-6k,1年以下,全职,大专,双休 下午茶 团建 包餐
视频后期制作,广州星石网络科技有限公司,50-150人,游戏,不需要融资,设计类,原画|美术|特效,视频,"['游戏', '特效']",2020-09-02 16:39:32,广州,天河区,['棠下'],4k-8k,不限,全职,大专,包餐 双休 五险一金 团建 下午茶
vip客服,广州星石网络科技有限公司,50-150人,游戏,不需要融资,运营|编辑|客服类,客服,客服,[],2020-09-02 16:39:32,广州,天河区,['棠下'],3k-6k,不限,全职,大专,包餐 双休 五险一金 团建 下午茶
运营专员,浙江动象科技有限公司,15-50人,"金融,移动互联网",A轮,运营|编辑|客服类,运营,运营,"['电商', '互联网金融', 'APP运营']",2020-09-02 16:39:32,杭州,滨江区,"['浦沿', '江南']",5k-8k,1年以下,全职,本科,不打卡 扁平化管理
java开发,浙江动象科技有限公司,15-50人,"金融,移动互联网",A轮,开发|测试|运维类,后端开发,Java,"['电商', '互联网金融', '分布式']",2020-09-02 16:39:32,杭州,滨江区,"['浦沿', '江南']",10k-15k,1-3年,全职,本科,行业大牛 上升空间大
sem主管,广州星石网络科技有限公司,50-150人,游戏,不需要融资,市场|商务类,渠道|推广,SEM,"['游戏', '网络推广']",2020-09-02 16:39:32,广州,天河区,['棠下'],10k-20k,1-3年,全职,大专,下午茶 团建 双休
社区运营,浙江动象科技有限公司,15-50人,"金融,移动互联网",A轮,运营|编辑|客服类,运营,社区运营,"['电商', '内容运营', 'APP运营']",2020-09-02 16:39:32,杭州,滨江区,"['浦沿', '江南']",12k-20k,3-5年,全职,本科,不打卡 扁平化管理
游戏在线客服,广州星石网络科技有限公司,50-150人,游戏,不需要融资,运营|编辑|客服类,客服,在线客服,"['客服', '游戏客服', '在线客服', 'VIP客服']",2020-09-02 16:39:32,广州,天河区,['棠下'],3k-5k,不限,全职,不限,包餐 双休 五险一金 团建 下午茶
客服组长,广州星石网络科技有限公司,50-150人,游戏,不需要融资,运营|编辑|客服类,高端运营|编辑|客服类,客服主管,[],2020-09-02 16:39:32,广州,天河区,['棠下'],5k-10k,1-3年,全职,大专,包餐 双休 五险一金 团建 下午茶
