positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
前端工程师,四川快易家科技有限公司,15-50人,"移动互联网,电商",未融资,开发|测试|运维类,前端开发,WEB前端,"['移动互联网', '房产服务', '移动端', '前端开发', 'Web前端', 'Vue']",2020-09-02 15:20:36,成都,高新区,,8k-12k,1-3年,全职,本科,季度奖金 年度奖金 团队年轻氛围好
课程咨询师,成都心田花开教育咨询有限公司,500-2000人,教育,未融资,运营|编辑|客服类,客服,其他客服,"['教育', '顾问']",2020-09-02 15:20:36,南京,江宁区,"['双龙大道', '开发区']",5k-8k,应届毕业生,全职,本科,高速晋升为、五险一金、带薪假期
用户研究员,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,不需要融资,设计类,用户研究,用户研究,"['用户研究', '数据分析']",2020-09-02 15:20:34,深圳,福田区,,13k-20k,1-3年,全职,本科,平台大，高薪
销售顾问,北京金三科技股份有限公司,150-500人,"移动互联网,企业服务",上市公司,销售类,销售,销售顾问,"['移动互联网', '销售']",2020-09-02 15:20:33,深圳,,,7k-13k,1-3年,全职,大专,五险一金，周末双休，朝九晚六，销售代表，
JAVA开发工程师（DSJKY1dl）(J11978),北京东方国信科技股份有限公司,2000人以上,数据服务,上市公司,开发|测试|运维类,后端开发,Java,['Java'],2020-09-02 15:20:31,北京,朝阳区,"['望京', '来广营']",8k-16k,1-3年,全职,本科,13薪、年终奖、带薪年假、定期体检
JAVA,广州市九浚信息技术有限公司,15-50人,"移动互联网,广告营销",未融资,开发|测试|运维类,后端开发,Java,['电商'],2020-09-02 15:20:30,广州,天河区,,15k-20k,3-5年,全职,本科,大牛导师，丰厚奖金，年度旅游，年底双薪
微信运营,浙江灵均文化传播有限公司,50-150人,电商,不需要融资,运营|编辑|客服类,运营,微信运营,"['电商', '社群运营']",2020-09-02 15:20:30,杭州,,,4k-6k,不限,全职,大专,双休/节日福利/带薪年假/生日福利
IT工程师,上海宏路数据技术股份有限公司,150-500人,移动互联网,上市公司,开发|测试|运维类,运维,IT技术支持,['IT支持'],2020-09-02 15:20:30,上海,黄浦区,,7k-12k,1-3年,全职,本科,商业保险 员工体检 做五休二 年终奖金
置业顾问房产经纪人,贵州恒鑫泰房地产营销策划有限公司,15-50人,数据服务,未融资,销售类,销售,销售顾问,"['电话销售', '销售代表', '地推', '市场拓展']",2020-09-02 15:20:29,贵阳,,,6k-12k,不限,全职,不限,父母慰问金，直接转入父母银行卡
运营经理,广州海鹚网络科技有限公司,150-500人,移动互联网,C轮,运营|编辑|客服类,高端运营|编辑|客服类,运营经理|主管,"['医疗健康', '移动互联网']",2020-09-02 15:20:29,广州,天河区,"['珠江新城', '猎德', '沙河']",7k-12k,1-3年,全职,本科,"六险一金,年底双薪,绩效奖金,双休"
运维工程师,杭州米雅信息科技有限公司,150-500人,移动互联网,不需要融资,开发|测试|运维类,运维,运维工程师,"['新零售', '广告营销', '数据库运维', '自动化运维']",2020-09-02 15:20:29,杭州,滨江区,"['西兴', '长河']",15k-20k,3-5年,全职,本科,弹性工作 升职机会多
人事主管,深圳市特约实业有限公司,150-500人,金融,未融资,综合职能|高级管理,人力资源,人事,"['互联网金融', '招聘', 'HRBP', '培训', '绩效考核', '招聘']",2020-09-02 15:20:29,深圳,龙华区,['龙华'],10k-20k,3-5年,全职,本科,发展前景，企业实力，晋升空间，收入模式
销售经理,中国人寿保险股份有限公司上海市分公司黄浦北京西路营销服务部,2000人以上,金融,上市公司,销售类,销售,销售经理,"['理财', '保险', '销售', '客户代表', '市场拓展', '大客户销售']",2020-09-02 15:20:25,上海,黄浦区,,10k-20k,不限,全职,大专,保险代理人 朝九晚五 做五休二
人事专员，售后客服,武汉梦聚十里电子商务有限公司,50-150人,"企业服务,其他",未融资,公务员|其他,其他,其他,['招聘'],2020-09-02 15:20:22,武汉,洪山区,,5k-9k,不限,全职,大专,见识人广，锻炼口头交谈能力
3D设计师（广州）,北京乐自天成文化发展有限公司,150-500人,"游戏,广告营销",B轮,设计类,原画|美术|特效,美术设计师（2D|3D）,['3D'],2020-09-02 15:20:19,广州,荔湾区,"['南源', '西关']",7k-12k,1-3年,全职,大专,"工作环境好,行业前景佳"
高级运维工程师,深圳市阿卡索资讯股份有限公司,2000人以上,"教育,移动互联网",C轮,开发|测试|运维类,运维,运维工程师,"['教育', '移动互联网', '运维', 'Linux']",2020-09-02 15:21:14,深圳,罗湖区,,10k-15k,3-5年,全职,大专,"五险一金,周末双休,健身俱乐部,带薪年假"
产品经理,成都不问科技有限公司,15-50人,"移动互联网,人工智能",天使轮,产品|需求|项目类,产品经理,产品经理,"['竞品分析', '原型设计', '产品策划', '交互设计']",2020-09-02 15:21:13,成都,高新区,,8k-15k,3-5年,全职,本科,五险一金、福利补贴
小学数学教师,成都心田花开教育咨询有限公司,500-2000人,教育,未融资,教育|培训,教师,小学教师,['教育'],2020-09-02 15:21:08,成都,锦江区,,8k-16k,不限,全职,本科,五险两金、周末双休、带薪年假
策略运营经理(J200715001),北京嘀嘀无限科技发展有限公司,2000人以上,汽车丨出行,不需要融资,运营|编辑|客服类,运营,其他运营,['滴滴'],2020-09-02 15:21:08,杭州,西湖区,,15k-30k,3-5年,全职,本科,平台大，前景广
大客户销售经理（南昌）,上海亘岩网络科技有限公司,150-500人,移动互联网,B轮,销售类,销售,大客户代表,"['移动互联网', '工具软件', '客户代表', '大客户销售', '区域销售', '软件销售']",2020-09-02 15:20:51,南昌,西湖区,,15k-25k,3-5年,全职,本科,新兴行业 前景好 发展速度快
大客户广告营销策划师,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,市场|商务类,市场|营销,其他市场|营销,"['营销', '数字营销', '社会化营销', '整合营销', '互相营销']",2020-09-02 15:20:51,厦门,,,12k-24k,不限,全职,本科,"团队氛围好,晋升空间大,薪资优厚"
