positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
Java互联网软件开发工程师,上海勤开网络科技有限责任公司,少于15人,"移动互联网,消费生活",不需要融资,开发|测试|运维类,后端开发,其他后端开发,"['Java', '全栈', '后端']",2020-09-03 14:16:24,上海,闵行区,,6k-12k,1年以下,全职,大专,以人为本，团队互助，弹性工作，带薪年假
网络安全工程师,微梦创科网络科技（中国）有限公司,2000人以上,文娱丨内容,上市公司,开发|测试|运维类,运维,网络安全,['网络安全运维'],2020-09-03 14:16:24,北京,,,20k-40k,不限,全职,本科,团队氛围、发展前景
前端开发工程师,西安云之梦信息科技有限公司,少于15人,"企业服务,软件开发",不需要融资,开发|测试|运维类,前端开发,WEB前端,"['移动互联网', '通信/网络设备', '前端开发', 'HTML5', 'CSS', 'Web前端']",2020-09-03 14:16:23,西安,经济技术开发区,,1k-2k,1-3年,兼职,本科,社保（五险），双休，法定节假日，年终奖
用户增长产品经理。 (MJ001167),北京才如大海科技有限公司,2000人以上,金融,C轮,产品|需求|项目类,产品经理,增长产品经理,['用户增长'],2020-09-03 14:16:18,北京,朝阳区,['来广营'],20k-40k,3-5年,全职,本科,.
客户经理,北京合力亿捷科技股份有限公司,500-2000人,"移动互联网,企业服务",上市公司,销售类,销售,客户经理,"['移动互联网', '销售', '客户代表']",2020-09-03 14:16:17,北京,海淀区,,5k-10k,1-3年,全职,大专,生日福利、免费体检、补充商保、集体活动等
公关咨询实习生,上海闪时品牌管理有限公司,15-50人,"广告营销,企业服务",未融资,市场|商务类,媒介|公关,品牌公关,"['品牌公关', '公关（PR）', '政府关系（GR）', '公共关系']",2020-09-03 14:16:17,上海,徐汇区,,2k-3k,应届毕业生,实习,本科,团队专业，交通便利，氛围nice
广告ae,上海衿御文化传媒有限公司,50-150人,"电商,企业服务",未融资,市场|商务类,品牌|广告,品牌策划,['AE'],2020-09-03 14:16:16,上海,徐汇区,,8k-13k,不限,全职,不限,项目提成+绩效奖金+13薪
文案策划,上海丝芭文化传媒集团有限公司,150-500人,"移动互联网,消费生活",C轮,运营|编辑|客服类,编辑,文案策划,[],2020-09-03 14:16:13,上海,虹口区,"['和平公园', '四川北路', '海宁路']",5k-8k,不限,全职,不限,弹性工作 五险一金
java开发工程师,北京神州新桥科技有限公司,500-2000人,"企业服务,信息安全",上市公司,开发|测试|运维类,后端开发,Java,"['Java', 'MySQL']",2020-09-03 14:16:08,北京,,,12k-16k,3-5年,全职,本科,五险一金、餐补、通讯补助、带薪年假
媒介投放,北京百家互联科技有限公司,2000人以上,"移动互联网,教育",上市公司,市场|商务类,媒介|公关,媒介投放,"['媒介', 'KOL媒介', '投放']",2020-09-03 14:16:08,武汉,,,7k-12k,1-3年,全职,本科,在线教育、上市公司、用户增长、六险一金
全职英语教师,深圳市瑞尔教育培训有限公司,50-150人,教育,未融资,教育|培训,教师,幼教,['教育'],2020-09-03 14:16:07,深圳,,,5k-10k,应届毕业生,全职,大专,5-10k，绩效提成面议
项目交付经理,武汉未来科技城人才企业发展服务有限公司,50-150人,"移动互联网,企业服务",不需要融资,开发|测试|运维类,高端技术职位,技术经理,['技术管理'],2020-09-03 14:16:07,武汉,,,15k-25k,5-10年,全职,本科,加班少 福利好 奖金多 国企
