name,company,company_size,field,workarea,background,education,low_salary,high_salary
交互动效设计师,浙江无端科技股份有限公司,150-500人,游戏,杭州,3-5年,不限,23,45
语音产品实习生,标贝（北京）科技有限公司,150-500人,人工智能,北京,不限,本科,3,6
引擎开发工程师,浙江无端科技股份有限公司,150-500人,游戏,杭州,不限,不限,20,35
东南亚发行经理,浙江无端科技股份有限公司,150-500人,游戏,杭州,1-3年,本科,20,35
资深NLP研发工程师,标贝（北京）科技有限公司,150-500人,人工智能,北京,3-5年,硕士,25,40
制作人,浙江无端科技股份有限公司,150-500人,游戏,杭州,5-10年,本科,30,60
PR策划—Saas方向,标贝（北京）科技有限公司,150-500人,人工智能,北京,3-5年,本科,15,20
主UI,浙江无端科技股份有限公司,150-500人,游戏,杭州,5-10年,大专,40,75
h5开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,1-3年,本科,9,14
高级UI设计师,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,5-10年,本科,15,25
交互设计师（太平金科）,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,3-5年,本科,14,17
java开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",广州,1-3年,本科,9,14
java开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,3-5年,本科,10,15
全栈开发工程师,北京联龙博通电子商务技术有限公司,2000人以上,"移动互联网,电商",成都,3-5年,本科,11,14
java工程师,北京联龙博通电子商务技术有限公司,2000人以上,"移动互联网,电商",深圳,3-5年,本科,12,16
策略设计师,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,5-10年,硕士,20,30
初级运营设计师,深圳市墨默交互科技有限公司,50-150人,"移动互联网,企业服务",深圳,1-3年,大专,6,8
h5开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,3-5年,本科,12,20
h5开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,1-3年,本科,8,12
市场拓展,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,3-5年,不限,10,15
golang开发工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,1-3年,本科,12,18
业务处理岗,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,1-3年,本科,8,12
Python高级工程师,广州光点信息科技有限公司,50-150人,"移动互联网,数据服务",上海,1-3年,本科,11,20
市场专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,1-3年,本科,7,13
商务BD,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,3-5年,本科,7,13
社区内容运营,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,3-5年,本科,15,25
新媒体运营,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,不限,本科,4,5
社区内容运营主管,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,3-5年,本科,15,25
媒介专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,3-5年,本科,7,13
新媒体运营专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,不限,本科,4,5
销售经理,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,1-3年,本科,12,20
kol运营专员,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,1年以下,本科,4,5
商务经理,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,1-3年,本科,12,20
海外财经内容运营,万汇互联（深圳）科技有限公司,50-150人,"社交,金融",深圳,1-3年,本科,7,13
解决方案工程师,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,1-3年,本科,12,18
研发项目经理,浙江钧信保安服务有限公司,50-150人,"信息安全,数据服务",杭州,5-10年,本科,18,30
二次元主播,广州梦映动漫网络科技有限公司,150-500人,"移动互联网,文娱丨内容",广州,不限,不限,5,10
Android开发实习生,广州梦映动漫网络科技有限公司,150-500人,"移动互联网,文娱丨内容",广州,不限,本科,2,3
急聘测试工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,3-5年,大专,9,11
ui设计师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,3-5年,本科,10,14
java开发工程师,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,3-5年,大专,9,15
产品经理,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,1-3年,不限,10,15
招聘专员,深圳市博悦科创科技有限公司,500-2000人,移动互联网,深圳,不限,大专,4,6
课程顾问,北京市海淀区新航道培训学校,2000人以上,教育,北京,不限,大专,10,20
大学市场专员,北京市海淀区新航道培训学校,2000人以上,教育,北京,不限,大专,7,12
市场专员,北京市海淀区新航道培训学校,2000人以上,教育,北京,不限,大专,7,10
高级测试工程师,绿漫科技有限公司,50-150人,移动互联网,杭州,3-5年,本科,18,30
资深软件工程师,绿漫科技有限公司,50-150人,移动互联网,杭州,5-10年,本科,20,35
通信服务项目经理,绿漫科技有限公司,50-150人,移动互联网,杭州,3-5年,大专,5,10
产业运营经理/项目经理,绿漫科技有限公司,50-150人,移动互联网,杭州,3-5年,本科,12,20
平台运营--负责人,绿漫科技有限公司,50-150人,移动互联网,杭州,3-5年,本科,20,30
营销总监/副总,绿漫科技有限公司,50-150人,移动互联网,杭州,5-10年,本科,20,40
商务拓展经理,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,10,20
高级产品经理（患者）,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,5-10年,本科,20,30
活动运营,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,10,16
UI设计师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,10,18
Java中级开发工程师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,13,18
HRBP,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,10,20
高级JAVA开发工程师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,5-10年,本科,15,25
商务拓展,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,10,20
解决方案经理,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,5-10年,大专,15,20
中高级前端开发工程师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,3-5年,本科,15,25
应用架构师,爱问医联科技（深圳）有限公司,150-500人,"医疗丨健康,移动互联网",深圳,5-10年,本科,25,50
