positionName,companyName,companySize,industryName,city,salary,experience,education
电话销售,上海美幺幺,500-999人,美容/美发,上海,10k - 15k,1-3年,学历不限
收银员,物美,10000人以上,生活服务,北京,4k - 8k,1年以内,高中
收派员,顺丰,10000人以上,物流/仓储,上海,5k - 10k,1年以内,高中
抖音博主,上海阔方传媒,500-999人,媒体,上海,9k - 14k,经验不限,学历不限
共享单车全职运维,哈啰出行,1000-9999人,互联网,上海,8k - 10k,经验不限,学历不限
单车猎人,哈啰出行,1000-9999人,互联网,上海,5k - 8k,经验不限,学历不限
友新贷款经理,友而信,10000人以上,互联网金融,上海,8k - 13k,经验不限,本科
销售经理,BOSS直聘,1000-9999人,人力资源服务,上海,8k - 13k,1-3年,大专
普工,哈啰出行,1000-9999人,互联网,上海,6k - 9k,经验不限,学历不限
网络行业销售大咖,BOSS直聘,1000-9999人,人力资源服务,上海,15k - 30k,3-5年,大专
长期超市收银兼职（虹桥南丰）,华润万家,1000-9999人,生活服务,上海,1k - 2k,1年以内,中专/中技
单车猎人,哈啰出行,1000-9999人,互联网,上海,8k - 10k,经验不限,学历不限
操作工,哈啰出行,1000-9999人,互联网,上海,8k - 10k,经验不限,学历不限
电话销售主管/坐席,水滴公司,1000-9999人,互联网,北京,15k - 30k,1-3年,大专
储备干部,上海世基,1000-9999人,互联网金融,上海,5k - 10k,经验不限,大专
汽车邀约客服,贝塔斯曼欧唯特,1000-9999人,企业服务,上海,5k - 6k,1年以内,中专/中技
腾讯体育会员SNS实习生,腾讯科技(北京)公司,10000人以上,移动互联网,北京,100-110元/天,在校/应届,本科
营业员/导购,百丽,10000人以上,其他行业,上海,5k - 8k,经验不限,学历不限
招聘经理/高级招聘经理,乐元素,500-999人,游戏,北京,20k - 25k,5-10年,本科
电话销售,叁陆零信息技术,500-999人,互联网金融,北京,15k - 30k,经验不限,大专
理疗师,新天舜华,500-999人,酒店,上海,5k - 7k,1年以内,学历不限
美容师,新天舜华,500-999人,酒店,上海,5k - 7k,经验不限,本科
视频编辑实习生,新浪网,1000-9999人,互联网,北京,2k - 3k,经验不限,本科
导购,百丽,10000人以上,其他行业,上海,4k - 9k,经验不限,学历不限
贷款顾问,福力信息科技,1000-9999人,互联网金融,上海,20k - 40k,经验不限,大专
授薪律师,重庆易法通法律咨...,500-999人,互联网,北京,12k - 20k,3-5年,本科
酒店公寓选址开发,窝趣WOWQU,500-999人,生活服务,上海,8k - 13k,3-5年,大专
